,,Grouped by 28 Day Death,Grouped by 28 Day Death,Grouped by 28 Day Death,Grouped by 28 Day Death,Grouped by 28 Day Death
"Troponin T, mean (SD)",,1658,0.3 (1.2),0.2 (0.9),0.3 (1.5),0.005
"Creatine Kinase (CK), mean (SD)",,1194,585.3 (5531.0),548.3 (5094.8),637.9 (6099.9),0.654
"Creatine Kinase, MB Isoenzyme, mean (SD)",,2298,12.5 (39.9),10.5 (33.0),15.2 (47.9),0.010
"CK-MB Index, mean (SD)",,3729,5.8 (5.6),5.1 (4.7),6.5 (6.2),<0.001
"NTproBNP, mean (SD)",,3944,11018.7 (16179.9),10777.5 (17084.1),11342.0 (14907.7),0.664
"PT, mean (SD)",,69,18.0 (11.1),17.1 (9.9),19.5 (12.7),<0.001
"PTT, mean (SD)",,71,36.5 (19.7),34.6 (17.4),39.6 (22.6),<0.001
"INR(PT), mean (SD)",,69,1.8 (2.3),1.7 (2.1),2.0 (2.4),<0.001
"D-Dimer, mean (SD)",,3893,4727.0 (4519.6),4137.8 (4152.0),5291.7 (4784.4),0.001
"Fibrinogen, Functional, mean (SD)",,2445,433.4 (235.8),481.1 (231.8),383.6 (229.7),<0.001
"Fibrin Degradation Products, mean (SD)",,3698,47.0 (135.8),43.8 (137.6),49.6 (134.5),0.538
"Cholesterol Ratio (Total/HDL), mean (SD)",,4166,6.2 (5.9),6.1 (5.7),6.3 (6.1),0.766
"Cholesterol, HDL, mean (SD)",,4157,31.1 (19.6),31.2 (19.1),31.1 (20.6),0.969
"Cholesterol, LDL, Calculated, mean (SD)",,4188,66.0 (38.1),67.0 (40.5),64.4 (34.0),0.500
"Cholesterol, Total, mean (SD)",,4119,131.0 (81.9),134.1 (91.4),126.2 (64.3),0.292
"Triglycerides, mean (SD)",,3473,176.6 (236.7),187.7 (267.9),160.7 (182.6),0.049
"Glucose, mean (SD)",,5,143.2 (114.1),145.5 (117.6),139.4 (108.1),0.074
"% Hemoglobin A1c, mean (SD)",,4230,6.9 (2.0),7.1 (2.1),6.4 (1.3),<0.001
"Parathyroid Hormone, mean (SD)",,4310,208.0 (404.3),209.8 (319.8),204.8 (520.8),0.935
"Thyroid Stimulating Hormone, mean (SD)",,3012,3.5 (5.1),3.3 (4.8),3.7 (5.6),0.124
"Thyroxine (T4), mean (SD)",,4314,5.3 (2.5),5.7 (2.3),4.7 (2.7),0.002
"Thyroxine (T4), Free, mean (SD)",,4102,1.1 (0.5),1.1 (0.5),1.1 (0.5),0.913
"STEMI, n (%)",0.0,338,3924 (93.1),2460 (93.5),1464 (92.2),0.126
"STEMI, n (%)",1.0,,293 (6.9),170 (6.5),123 (7.8),
"AF, n (%)",0.0,338,3063 (72.6),2032 (77.3),1031 (65.0),<0.001
"AF, n (%)",1.0,,1154 (27.4),598 (22.7),556 (35.0),
"inferior MI, n (%)",0.0,338,3811 (90.4),2407 (91.5),1404 (88.5),0.001
"inferior MI, n (%)",1.0,,406 (9.6),223 (8.5),183 (11.5),
"CXR_pneumonia, n (%)",0.0,1049,999 (28.5),681 (31.0),318 (24.3),<0.001
"CXR_pneumonia, n (%)",1.0,,2507 (71.5),1514 (69.0),993 (75.7),
"ICUs, n (%)",0,0,4 (0.1),3 (0.1),1 (0.1),<0.001
"ICUs, n (%)",1,,3976 (87.3),2523 (89.5),1453 (83.7),
"ICUs, n (%)",2,,460 (10.1),239 (8.5),221 (12.7),
"ICUs, n (%)",3,,92 (2.0),47 (1.7),45 (2.6),
"ICUs, n (%)",4,,20 (0.4),6 (0.2),14 (0.8),
"ICUs, n (%)",5,,3 (0.1),2 (0.1),1 (0.1),
"ICU_LOS, mean (SD)",,4,7.2 (9.8),6.9 (9.9),7.8 (9.7),0.003
"Bacteriemia, mean (SD)",,0,4.4 (9.3),4.5 (9.4),4.1 (9.3),0.102
"Gram Positive, mean (SD)",,0,2.4 (7.0),2.4 (7.2),2.4 (6.8),0.859
"Gram Negative, mean (SD)",,0,1.9 (6.2),2.1 (6.3),1.6 (6.1),0.007
"Yeast, n (%)",0,0,4427 (97.2),2774 (98.4),1653 (95.3),<0.001
"Yeast, n (%)",1,,74 (1.6),28 (1.0),46 (2.7),
"Yeast, n (%)",10,,2 (0.0),,2 (0.1),
"Yeast, n (%)",2,,17 (0.4),5 (0.2),12 (0.7),
"Yeast, n (%)",3,,10 (0.2),4 (0.1),6 (0.3),
"Yeast, n (%)",4,,12 (0.3),5 (0.2),7 (0.4),
"Yeast, n (%)",5,,5 (0.1),2 (0.1),3 (0.2),
"Yeast, n (%)",6,,4 (0.1),1 (0.0),3 (0.2),
"Yeast, n (%)",7,,2 (0.0),1 (0.0),1 (0.1),
"Yeast, n (%)",8,,1 (0.0),,1 (0.1),
"Yeast, n (%)",9,,1 (0.0),,1 (0.1),
"Contaminant, mean (SD)",,0,1.0 (5.0),1.0 (5.3),0.9 (4.6),0.194
"Other Pathogen, mean (SD)",,0,0.4 (2.5),0.4 (2.5),0.4 (2.6),0.752
"antibiotics, n (%)",0,0,33 (0.7),7 (0.2),26 (1.5),<0.001
"antibiotics, n (%)",1,,128 (2.8),99 (3.5),29 (1.7),
"antibiotics, n (%)",10,,21 (0.5),12 (0.4),9 (0.5),
"antibiotics, n (%)",11,,10 (0.2),3 (0.1),7 (0.4),
"antibiotics, n (%)",15,,1 (0.0),1 (0.0),,
"antibiotics, n (%)",2,,568 (12.5),373 (13.2),195 (11.2),
"antibiotics, n (%)",3,,1072 (23.5),662 (23.5),410 (23.6),
"antibiotics, n (%)",4,,1063 (23.3),672 (23.8),391 (22.5),
"antibiotics, n (%)",5,,791 (17.4),494 (17.5),297 (17.1),
"antibiotics, n (%)",6,,462 (10.1),276 (9.8),186 (10.7),
"antibiotics, n (%)",7,,259 (5.7),143 (5.1),116 (6.7),
"antibiotics, n (%)",8,,104 (2.3),58 (2.1),46 (2.7),
"antibiotics, n (%)",9,,43 (0.9),20 (0.7),23 (1.3),
"antivirals, n (%)",0,0,4073 (89.4),2515 (89.2),1558 (89.8),0.537
"antivirals, n (%)",1,,455 (10.0),288 (10.2),167 (9.6),
"antivirals, n (%)",2,,26 (0.6),17 (0.6),9 (0.5),
"antivirals, n (%)",3,,1 (0.0),,1 (0.1),
"antifungals, n (%)",0,0,3612 (79.3),2288 (81.1),1324 (76.3),<0.001
"antifungals, n (%)",1,,767 (16.8),463 (16.4),304 (17.5),
"antifungals, n (%)",2,,131 (2.9),53 (1.9),78 (4.5),
"antifungals, n (%)",3,,40 (0.9),13 (0.5),27 (1.6),
"antifungals, n (%)",4,,5 (0.1),3 (0.1),2 (0.1),
"inotropes, n (%)",0,0,1863 (40.9),1407 (49.9),456 (26.3),<0.001
"inotropes, n (%)",1,,2102 (46.1),1206 (42.8),896 (51.6),
"inotropes, n (%)",2,,525 (11.5),187 (6.6),338 (19.5),
"inotropes, n (%)",3,,65 (1.4),20 (0.7),45 (2.6),
"immunosuppresant, n (%)",0,0,2977 (65.4),1974 (70.0),1003 (57.8),<0.001
"immunosuppresant, n (%)",1,,1132 (24.9),600 (21.3),532 (30.7),
"immunosuppresant, n (%)",2,,446 (9.8),246 (8.7),200 (11.5),
